,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
29464,Buff Buffet Buff,Yes,Yes,4.5,3161,Koramangala 5th Block,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads","North Indian, Chinese, Continental, Thai, Salad",1500,NA
29472,Boho,No,Yes,4.2,1750,Koramangala 5th Block,Casual Dining,"Barbecue Chicken Wings, Chilli Paneer, Cocktails, Chicken Steak, Sangria, Pizza, Spicy Chicken","Continental, Asian, American, North Indian, Desserts",1200,NA
29477,The Reservoire,No,Yes,4.6,2579,Koramangala 5th Block,"Bar, Casual Dining","Cocktails, Bruschettas, Peppy Paneer Pizza, Beer, Caramel Custard, Peri Peri Wings, Wood Fire Pizza","Continental, North Indian, Chinese, American",1300,NA
29479,Indigo XP,No,No,4.2,2368,Koramangala 5th Block,Pub,"Pasta, Biryani, Cocktails, Mocktails, Pizza, Nachos, Blueberry Cheesecake","Finger Food, Continental, Asian, North Indian",1400,Dine-out
29481,Ulavacharu,Yes,Yes,4.2,147,Koramangala 5th Block,Casual Dining,"Ulavacharu, Biryani, Bangla Kodi, Rajugari Kodi Pulao, Curd Rice, Gadwal Kodi Pulao, Fish","Andhra, North Indian, Chinese",900,Dine-out
29486,Sultans of Spice,Yes,Yes,4.5,3467,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad",1300,Dine-out
29496,Fenny's Lounge And Kitchen,No,Yes,4.6,6371,Koramangala 7th Block,"Bar, Casual Dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Bbq Chicken, Veg Starter, Sea Food","Mediterranean, Pizza, Continental, Seafood, Salad",1600,Dine-out
29498,Brooks and Bonds Brewery,Yes,Yes,4.5,3950,Koramangala 5th Block,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges","Continental, Mediterranean, North Indian, Chinese, Finger Food",1600,Dine-out
29499,Sharief Bhai,No,Yes,4.4,1557,Koramangala 5th Block,Casual Dining,"Mutton Biryani, Nalli Nihari, Patthar Ka Gosht, Phirni, Fry Prawns, Lamb Chops, Paya Soup","Mughlai, Biryani",700,NA
29501,ECHOES Koramangala,No,No,4.7,3214,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Mezze Platter, Momos, Pizza, Waffles, Chocolate Milkshake, Pancakes","Chinese, American, Continental, Italian, North Indian",750,Dine-out
29505,Dyu Art Cafe,No,No,4.5,3843,Koramangala 5th Block,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food",800,NA
29515,House Of Commons,No,Yes,4.7,4441,Koramangala 5th Block,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini","Continental, Asian, North Indian",1000,NA
29516,Foxtrot - House of Subculture,No,Yes,4.4,374,Koramangala 3rd Block,"Cafe, Lounge","Cocktails, Fish, Momos, Mocktails, Burgers, Pizza, Chicken Lollipop","Cafe, American, Asian, North Indian",1000,NA
29517,Asia Kitchen By Mainland China,Yes,Yes,4.9,2227,Koramangala 5th Block,"Casual Dining, Bar","Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup, Chocolate Roll","Asian, Chinese, Thai, Momos",1500,NA
29519,Barbeque Nation,No,Yes,4.7,3625,Koramangala 1st Block,Casual Dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish","North Indian, European, Mediterranean, BBQ, Kebab",1600,Dine-out
29524,Chianti,No,Yes,4.7,4857,Koramangala 5th Block,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",Italian,1500,Dine-out
29526,Drava,No,Yes,4.3,114,Koramangala 5th Block,Lounge,"Cocktails, Veg Burger, Tikka, Beer, Pizza, Burgers, Spaghetti Aglio Olio","Pizza, Continental, North Indian, Asian",1500,Dine-out
29527,Roots,Yes,Yes,4.5,1888,Koramangala 1st Block,"Casual Dining, Bar","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","North Indian, South Indian, Chinese, Continental, Mangalorean",1200,Dine-out
29532,The Boozy Griffin,No,Yes,4.6,4986,Koramangala 5th Block,"Casual Dining, Pub","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges","European, Continental",1800,NA
29534,Meghana Foods,Yes,No,4.4,7232,Koramangala 5th Block,Casual Dining,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food","Biryani, Seafood, Andhra, North Indian",600,NA
29536,Om Made Cafe,No,No,4.1,2732,Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices",1300,Dine-out
29542,Gramin,Yes,No,4.3,3458,Koramangala 7th Block,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600,Dine-out
29551,Punjab Bistro,Yes,Yes,4.4,460,Koramangala 7th Block,"Casual Dining, Bar","Chicken Shorba, Paneer Tikka Masala, Cocktails, Jumbo Prawns, Beer, Butter Naan, Paan Shot",North Indian,1500,Dine-out
29553,Simon Says Brew Works,No,Yes,4.5,1991,Koramangala 5th Block,"Microbrewery, Casual Dining","Beer, Onion Pakoda, Long Island Iced Tea, Peri Peri Chicken, Cocktails, Veg Platter, Stout","Continental, American, Italian, Modern Indian, Pizza, Burger",1400,NA
29558,Bonsouth,Yes,Yes,4.2,2620,Koramangala 5th Block,Casual Dining,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa","Chettinad, Andhra, Kerala",1300,Dine-out
29559,By The Blue - Grand Mercure,No,Yes,4.1,786,Koramangala 3rd Block,Casual Dining,"Butter Naan, Mocktails, Cocktails, Sunday Brunch, Waffles, Gulab Jamun, Veg Platter","North Indian, Mughlai",1500,Dine-out
29565,Happy Brew,No,Yes,4,2158,Koramangala 5th Block,Lounge,"Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries","Continental, American, Chinese, BBQ, Salad",1000,Dine-out
29567,Bathinda Junction,Yes,Yes,4.1,1250,Koramangala 5th Block,Casual Dining,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",North Indian,600,Dine-out
29569,Toscano,Yes,Yes,4.5,718,Koramangala 7th Block,Casual Dining,"Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine","Italian, Salad",1500,NA
29577,Crawl Street,Yes,Yes,4.3,2571,Koramangala 5th Block,Bar,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Mocktails, Paneer Tikka Masala, Pizza","Continental, Finger Food, North Indian, Chinese",1200,NA
29597,Nagarjuna,No,No,4.3,2304,Koramangala 5th Block,Casual Dining,"Andhra Meal, Chicken Pepper Dry, Andhra Thali, Chicken Biryani, Murgh Ghee Roast, Ghee Rice, Hyderabadi Biryani","Andhra, North Indian, Biryani",800,NA
29603,Zee5 Loft,Yes,No,4.4,362,Koramangala 6th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500,NA
29606,The Old Fashioned Bar,No,Yes,4.5,569,Koramangala 6th Block,Bar,"Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka","Finger Food, North Indian, Continental",1000,NA
29608,Beer Adda,Yes,Yes,4.3,549,Koramangala 5th Block,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","North Indian, Chinese, Pizza",1000,Dine-out
29612,Tim Tai,Yes,Yes,4.4,3674,Koramangala 5th Block,Casual Dining,"Noodles, Rice Paper Rolls, Prawn Dumplings, Vegetable Dimsums, Prawn Dim Sums, Rendang Chicken, Pad Thai","Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400,NA
29615,Blue Tokai Coffee Roasters,Yes,No,4,74,Koramangala 8th Block,Cafe,"Coffee, Potato Wedges","Cafe, Coffee",400,Dine-out
29618,Sixth Avenue Cafe And Patisserie,No,No,4.4,174,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Peri Chicken, Fries, Pasta Alfredo, Mocktails","Cafe, Italian, Desserts",600,Dine-out
29634,Big Wong XL,No,Yes,4.5,685,Koramangala 5th Block,Casual Dining,"Noodles, Manchow Soup, Sake, Veg Sushi, Virgin Pinacolada, Tempura Prawns, Sea Food","Chinese, Sushi, Asian, Thai",1400,NA
29635,B-hive,No,Yes,4.3,1550,Koramangala 1st Block,Pub,"Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta","Finger Food, North Indian",1200,Dine-out
29637,Harry's Bar + Cafe,Yes,Yes,4.2,1367,Koramangala 7th Block,"Casual Dining, Bar","Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","Asian, American, Mexican",1400,Dine-out
29643,A Hole Lotta Love Cafe,Yes,No,4.3,2871,Koramangala 5th Block,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600,NA
29645,The Smoke Co.,Yes,Yes,4.4,520,Koramangala 6th Block,Casual Dining,"Mysore Pak, Cocktails, Burgers, Pork Ribs, Fish, Mocktails, Beer","American, European",2500,NA
29647,Kritunga Restaurant,No,No,3.8,1161,Koramangala 5th Block,Casual Dining,"Bamboo Chicken, Pot Biryani, Brain Fry, Hyderabadi Biryani, Brinjal Curry, Jowar Roti, Mutton Curry","Andhra, Biryani, North Indian, Chinese",650,Dine-out
29654,Barleyz,No,No,3.7,4650,Koramangala 6th Block,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea","North Indian, Continental, Chinese",2000,Dine-out
29664,China Pearl,Yes,Yes,4.4,1854,Koramangala 6th Block,Casual Dining,"Noodles, Veg Momos, Chicken Soup, Chicken Dumplings, Meishan Tofu, Sea Food, Mocktails",Chinese,1100,Dine-out
29668,Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,679,Koramangala 7th Block,Casual Dining,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani",1500,Dine-out
29672,Bistro Claytopia,Yes,Yes,4.1,1853,Koramangala 1st Block,Cafe,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich","Cafe, American, Italian, Burger",600,NA
29685,Dice N Dine,Yes,Yes,4.3,1805,Koramangala 5th Block,"Casual Dining, Cafe","Lasagne, Tiramisu, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos, Pasta","Continental, Cafe, Italian, Fast Food, Steak",900,NA
29687,Empire Restaurant,Yes,No,4.1,6937,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma","North Indian, Mughlai, South Indian, Chinese",750,NA
29688,Chinita Real Mexican Food,No,No,4.5,733,Koramangala 5th Block,Casual Dining,"Tacos, Churros, Nachos, Salad, Enchiladas, Burrito Bowl, Hot Chocolate",Mexican,1200,NA
29689,Cafe Thulp,Yes,No,4.1,3006,Koramangala 1st Block,Cafe,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles","Cafe, Burger, Italian, Salad",1000,Dine-out
29690,Royal Treat,No,No,4.1,439,Koramangala 5th Block,Casual Dining,"Dragon Chicken, Butter Chicken, Rolls, Mutton Biryani, Raita, Panneer Butter Masala, Tandoori Chicken","North Indian, Chinese, Biryani",500,Dine-out
29693,Kobe Sizzlers,No,Yes,4.1,1794,Koramangala 5th Block,Casual Dining,"Sandwiches, Salads, Lamb, Ice Tea, Chicken Salad, Steak, Chicken Shashlik","American, Continental, Fast Food, Steak",1000,Dine-out
29699,YORK St.,Yes,No,4.4,949,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900,Dine-out
29709,Koshe Kosha,Yes,No,4,576,Koramangala 1st Block,Casual Dining,"Fish, Kosha Mangsho, Chicken Curry, Luchi, Chingri Malaikari, Biryani, Bhetki Fry","Bengali, Seafood",600,Dine-out
29710,Fava Bistro,Yes,Yes,4.4,386,Koramangala 5th Block,"Casual Dining, Bar","Pizza, Pita Bread, Beer Cocktail, Baklava, Shrimp Soup, Pasta, Babaganush","Mediterranean, Pizza, Italian, Beverages",1500,NA
29711,Bamey's Restro Cafe,Yes,No,4.2,534,Koramangala 5th Block,Casual Dining,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos","Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600,Dine-out
29712,What's In A Name,Yes,Yes,4.1,1788,Koramangala 5th Block,Pub,"Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu","Finger Food, Asian, European, Italian",1200,NA
29715,Hungry Hippie,No,Yes,4.3,1470,Koramangala 5th Block,Cafe,"Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade","Cafe, Continental, Italian, Burger",800,Dine-out
29717,Noodle Panda,Yes,No,4.3,340,Koramangala 5th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums","Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800,NA
29718,Nuts Over Salads Cafe,Yes,Yes,4.5,208,Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Clear Soup","Cafe, Salad",800,Dine-out
29719,Mimansa @ Foxtrot,Yes,Yes,4.4,192,Koramangala 3rd Block,Cafe,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries",Cafe,1000,Dine-out
29720,Baba Chatkora,Yes,No,4.2,822,Koramangala 6th Block,Casual Dining,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap",North Indian,1000,NA
29721,Karama Restaurant,Yes,No,4.1,1567,Koramangala 5th Block,Casual Dining,"Mutton Mandi, Laccha Paratha, Chicken Curry, Tawa Chicken, Rabri, Raan, Biryani","Arabian, North Indian, Beverages",750,NA
29722,Bundar,No,No,4.1,2449,Koramangala 6th Block,Cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings","Cafe, Burger, Fast Food, Desserts",700,Dine-out
29723,Wok Paper Scissors,Yes,No,4.3,1593,Koramangala 5th Block,Casual Dining,"Noodles, Manchow Soup, Khau Suey, Chilli Chicken, Chaat, Cheesecake, Momos","Asian, Malaysian, Chinese, Thai, Momos",550,Dine-out
29724,Carrots,Yes,Yes,4.1,601,Koramangala 6th Block,Casual Dining,"Pizza, Pasta, Salads, Masala Chai, Soya Buttermilk, Burgers, Chocolate Icecreams","Italian, North Indian, Healthy Food, Desserts",1100,Dine-out
29725,Lot Like Crepes,Yes,No,4.6,1027,Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550,Dine-out
29726,Magnolia,Yes,Yes,4.1,675,Koramangala 3rd Block,Casual Dining,"Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup","Chinese, Thai, Asian",900,Dine-out
29727,Hunan,No,Yes,4.3,2248,Koramangala 5th Block,Casual Dining,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos",1100,Dine-out
29729,Anupam's Coast II Coast,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,"Neer Dosa, Murgh Ghee Roast, Sea Food, Fish, Ghee Rice, Appam, Prawn Ghee Roast","Seafood, Mangalorean, North Indian, Chinese",700,Dine-out
29731,Tibetan Mother's Kitchen,Yes,No,4,960,Koramangala 7th Block,Casual Dining,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken","Tibetan, Chinese, Momos",500,Dine-out
29732,Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4,151,Koramangala 2nd Block,Casual Dining,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100,Dine-out
29734,Bhojohori Manna,Yes,No,4.1,1959,Koramangala 6th Block,Casual Dining,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns","Bengali, Mughlai",650,Dine-out
29737,Indian Coffee House & Restaurant,No,No,4.2,676,Koramangala 5th Block,Casual Dining,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa","South Indian, North Indian, Chinese",650,Dine-out
29740,Cafe D'hide,Yes,Yes,4.2,872,Koramangala 5th Block,Cafe,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600,Dine-out
29743,Oye Amritsar,Yes,Yes,4,1863,Koramangala 6th Block,Casual Dining,"Lassi, Raita, Dal Makhani, Jalebi Rabri, Chaach, Hara Bhara Kabab, Lime Soda",North Indian,600,NA
29745,1722 Urban Bistro,Yes,Yes,4.1,222,Koramangala 5th Block,Casual Dining,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop","North Indian, Chinese, Fast Food, Biryani",600,NA
29748,Gudguda Prime Cafe,No,Yes,4.2,818,Koramangala 6th Block,Cafe,"Mocktails, Pizza, Veg Platter, Brownie, Burgers, Pasta, Fries Basket","Cafe, Continental, Chinese, Italian",800,Dine-out
29749,The Local - Terrace Drinkery,No,No,4,1409,Koramangala 6th Block,"Pub, Casual Dining","Beer, Burgers, Sandwiches, Virgin Mojito, Beef Chilli, Pork Chilli, Chicken Nachos","Continental, American, Pizza, BBQ",1000,Dine-out
29750,Peace Restaurant,Yes,No,3.9,660,Koramangala 5th Block,Casual Dining,"Momos, Thukpa, Dumplings, Crispy Chilli Potatoes, Beef Shaptak Dry, Chicken Momo, Fruit Beer","Chinese, Tibetan, North Indian",500,Dine-out
29752,Cafe Terra,Yes,No,4.1,778,Koramangala 1st Block,Cafe,"English Breakfast, Waffles, Chocolate Cake, Frittata, Chicken Lasagne, Ginger Tea, Burgers","Cafe, Continental",700,Dine-out
29754,Baba Da Dhaba,No,Yes,4.1,450,Koramangala 7th Block,Casual Dining,"Dal Makhani, Phirni, Kheer, Chicken Butter Masala, Murgh Lababdar, Chicken Tikka, Paneer Tikka",North Indian,650,Dine-out
29755,Hyderabad Biryaani House,Yes,No,4.1,1117,Koramangala 5th Block,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750,Dine-out
29757,The Himalayan,No,Yes,4.4,325,Koramangala 5th Block,Casual Dining,"Mocktails, Kimchi, Sushi, Pork Bibimbap, Ginger Tea, Chicken Sizzler, Salads",Korean,1200,Dine-out
29761,Petoo,Yes,No,3.8,178,Koramangala 1st Block,Casual Dining,"Chaat, Gulab Jamun, Biryani, Samosa","North Indian, Fast Food, Street Food",800,Dine-out
29763,Patiala Highway,Yes,No,3.7,32,Koramangala 6th Block,Casual Dining,NA,North Indian,700,Dine-out
29764,Shanmukha,Yes,No,4,782,Koramangala 5th Block,Casual Dining,"Chicken Dum Biryani, Kerala Parotta, Chicken Boneless Biryani, Vegetable Biryani, Naan, Fish, Gulab Jamun","Biryani, Andhra, North Indian, Chinese",800,Dine-out
29765,Beijing Bites,Yes,Yes,4,859,Koramangala 5th Block,Casual Dining,"Noodles, Spring Roll, Dragon Chicken, Hunan Chicken, Lung Fung Soup, Prawn, Chop Suey","Chinese, Thai",850,Dine-out
29767,Cafe Medley,Yes,No,4.2,1063,Koramangala 5th Block,Cafe,"Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger",800,Dine-out
29770,Eagles Pizza,Yes,No,3.8,19,Koramangala 7th Block,Casual Dining,NA,"Pizza, Italian",400,Dine-out
29775,52 Wall Street,No,No,3.9,740,Koramangala 6th Block,"Bar, Casual Dining","Beer, Cocktails, Noodles, Buffalo Wings, Chilli Chicken, Pizza, Chicken Tikka","American, Continental, Finger Food",1400,Dine-out
29783,Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,149,Koramangala 5th Block,"Pub, Bar","Pizza, Mango Cheesecake, Beer, Mocktails, Crispy Water Chestnuts, Cosmopolitan, Prawn","Finger Food, North Indian, Continental, Pizza",1000,Dine-out
29791,Waffle Magic,Yes,No,4.1,85,Koramangala 6th Block,Cafe,Waffles,"Cafe, Desserts",700,Dine-out
29793,Desipun,Yes,Yes,4.2,344,Koramangala 5th Block,Casual Dining,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",North Indian,700,Dine-out
29798,154 Breakfast Club,Yes,Yes,4,1512,Koramangala 3rd Block,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900,NA
29799,Lazeez,Yes,No,3.1,910,Koramangala 5th Block,Casual Dining,"Biryani, Rolls, Firni, Chicken Roll, Mutton Pasanda, Mutton Rezala, Phirni","North Indian, Mughlai, Biryani",600,Dine-out
29800,Sharma's Malai & Masala,Yes,No,4,457,Koramangala 1st Block,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,650,Dine-out
29803,Bistro Oui,Yes,Yes,4.1,402,Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak",1200,Dine-out
29805,Cafe Graffiters,Yes,No,3.8,23,Koramangala 5th Block,Cafe,NA,"Cafe, Continental, Beverages",600,Dine-out
29813,Chung Wah,Yes,No,4,314,Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken","Chinese, Thai, Momos, Vietnamese",800,Dine-out
29814,Kargeens,Yes,No,4.1,992,Koramangala 6th Block,Cafe,"Mocktails, Pasta Alfredo, Nachos, Veggie Pizza, Chicken Steak, Hot Chocolate, Noodles","Cafe, Continental, Italian",600,Dine-out
29815,Rajdhani Thali Restaurant,Yes,Yes,4,797,Koramangala 7th Block,Casual Dining,"Gatte Ki Subzi, Rabri, Dhokla, Rajasthani Thali, Jalebi, Daal Baati Churma, Aamras",North Indian,900,Dine-out
29816,Smally's Resto Cafe,Yes,Yes,4.2,1703,Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650,Dine-out
29817,Tilt Gastro Lounge,No,Yes,4.1,1236,Koramangala 5th Block,"Lounge, Casual Dining","Cocktails, Burgers, Pasta, Exotic Pizza, Long Island Iced Tea, Honey Chilli Potatoes, Nachos","Continental, American, North Indian, Chinese",1500,Dine-out
